enclosure_volume_m3,nozzle_diameter_mm,Q_N_NL_per_min,Q_N_m3_per_s,U_normal_m_per_s,U_inject_m_per_s,mdot_kg_per_s,Re,Ri
1,4.0,218.1,3.63e-03,289.26,303.03,3.27e-04,11938,0.000
1,4.0,104.0,1.73e-03,137.93,144.50,1.56e-04,5693,0.000
1,4.0,62.4,1.04e-03,82.76,86.70,9.35e-05,3416,0.000
1,4.0,20.8,3.47e-04,27.59,28.90,3.12e-05,1139,0.001
1,4.0,10.4,1.73e-04,13.79,14.45,1.56e-05,569,0.003
1,27,218.1,3.63e-03,6.35,6.65,3.27e-04,1769,0.080
1,27,104.0,1.73e-03,3.03,3.17,1.56e-04,843,0.352
1,27,62.4,1.04e-03,1.82,1.90,9.35e-05,506,0.978
1,27,20.8,3.47e-04,0.61,0.63,3.12e-05,169,8.805
1,27,10.4,1.73e-04,0.30,0.32,1.56e-05,84,35.222
2,4.0,218.1,3.63e-03,289.26,303.03,3.27e-04,11938,0.000
2,4.0,73.0,1.22e-03,96.82,101.43,1.09e-04,3996,0.000
2,4.0,20.8,3.47e-04,27.59,28.90,3.12e-05,1139,0.001
2,4.0,5.2,8.67e-05,6.90,7.22,7.79e-06,285,0.010
2,27,218.1,3.63e-03,6.35,6.65,3.27e-04,1769,0.080
2,27,73.0,1.22e-03,2.12,2.23,1.09e-04,592,0.715
2,27,20.8,3.47e-04,0.61,0.63,3.12e-05,169,8.805
2,27,5.2,8.67e-05,0.15,0.16,7.79e-06,42,140.886
